Zone_Number,Jobs,ParkTrail,ActivityCenter,Grocery,HealthFac,SchoolU,Count
4214,260812,159,18,17,41,100,198
4215,290398,165,18,17,41,109,205
4216,294157,167,20,21,44,117,213
4217,60866,98,6,11,14,52,96
4218,85780,116,7,14,22,69,120
4219,64531,110,11,14,21,70,114
4220,80284,102,7,12,25,65,115
4221,82431,128,14,21,30,91,137
4222,69478,112,12,15,22,71,114
4223,54853,89,10,12,16,57,90
4224,105001,165,19,24,38,113,173
4225,66750,95,17,16,27,68,108
4226,114610,163,20,24,43,116,182
4227,76524,112,17,20,29,83,129
4228,80210,108,16,19,29,80,130
4229,130020,124,21,20,45,100,154
4230,319194,184,34,25,60,151,241
4231,126233,150,13,16,35,99,164
4232,100992,131,12,12,26,85,139
4233,309748,172,19,16,45,114,221
4234,291632,161,20,15,39,102,208
4235,223267,146,26,23,51,108,181
4236,79548,111,21,23,41,76,126
4237,304108,171,31,26,61,125,224
4238,94241,136,24,25,43,96,152
4239,96970,134,22,23,41,94,158
